route_schedule_uuid,num_trips,route_total_distance,route_start_time,route_end_time,route_start_location,route_end_location,route_total_time
thanos::sroute:0007affd-fd01-4cf0-8a4f-90419df059f7,24,934.8716,2018-09-12 08:09:45.597744,2018-10-03 09:55:21.534952,IND421302AAG,IND401104AAA,30345.59895346667
thanos::sroute:00435307-de7f-4439-bd6a-5a2a9a3cd8bf,9,362.754,2018-09-14 05:37:20.216024,2018-10-02 07:29:49.812476,IND560048AAB,IND562132AAA,26032.493274200002
thanos::sroute:00a74fab-a3ac-44df-b83a-cbf181b4cd94,4,260.7569,2018-09-20 00:38:34.311550,2018-09-26 02:49:52.793338,IND853204AAA,IND851204AAA,8771.3080298
thanos::sroute:00b294b8-d2c3-4bca-a3be-684f46278bdd,8,1875.8268,2018-09-13 00:04:31.278883,2018-09-21 07:19:47.142069,IND713130AAA,IND742101AAC,11955.264386433333
thanos::sroute:01164881-301e-45f8-bacd-ee21c37f1cc4,15,2075.9269,2018-09-12 02:48:42.647405,2018-09-29 14:25:35.226209,IND721306AAA,IND721306AAA,25176.8763134
thanos::sroute:011f94ad-57cf-4005-9734-f5b8a4d9cb59,20,3885.4131,2018-09-12 22:17:00.947242,2018-10-04 16:49:43.670970,IND506002AAA,IND506002AAA,31352.712062133334
thanos::sroute:01c323e7-754d-4464-b0c4-f2d377215061,2,506.2459,2018-09-17 05:31:53.063739,2018-09-19 09:30:07.165709,IND177203AAA,IND160002AAC,3118.235032833333
thanos::sroute:01e5991c-f5b3-441f-9d18-a583938d71ef,3,421.8648,2018-10-01 10:48:26.726560,2018-10-03 13:32:38.333279,IND521225AAB,IND523002AAA,3044.193445316667
thanos::sroute:02354ecb-ff3e-498e-8465-9a33eecfca73,3,197.67919999999998,2018-09-12 12:43:34.073020,2018-09-14 17:37:34.181811,IND132103AAA,IND131028AAB,3174.0018131833335
thanos::sroute:02447388-0297-4e63-9a71-3589741bd807,1,12.2889,2018-10-03 00:42:54.020343,2018-10-03 01:55:36.215055,IND122001AAD,IND122050AAA,72.70324520000001
thanos::sroute:02473c6f-831f-4008-be51-be7290ad2760,14,2289.6375,2018-09-12 01:42:39.014985,2018-10-02 16:10:12.110750,IND570020AAA,IND570020AAA,29667.551596083333
